Model,ImageNet,CIFAR-100,V4,IT,IT (new data),IT (new images),Behavior,Behavior (new data),V4 (early),V4 (late),IT (early),IT (late),OST,Brain-Score,Depth,V4 number of features,IT number of features,Paper
CORnet-S,0.731,0.7246,0.6499003878538285,0.600291694904249,0.5642682755876558,0.6709900110634077,0.382,0.5973485007145507,0.5607491892905803,0.2852943354782972,0.4676007332587199,0.3937331318923144,0.25,0.4705480206895194,15.0,512.0,512.0,https://arxiv.org/abs/1909.06161
DenseNet-169,0.759,0.6451,0.6626766557636573,0.6056243364986629,0.5714585935189838,0.6644199748480448,0.37792339399999997,0.5862545977799141,,,,,0.0,0.41155609656558007,169.0,1664.0,,https://arxiv.org/abs/1608.06993
ResNet-101 v2,0.7737,0.7445,0.6525502989170329,0.5847226311550136,0.5584448359899772,0.6562642775652373,0.389477175,0.6488872580815481,0.5764302165309709,0.2931929936889649,0.4515054639655814,0.3885081747143268,0.0,0.40668752626801163,101.0,2048.0,2048.0,https://arxiv.org/abs/1512.03385
DenseNet-201,0.772,0.6565,0.6547249948543018,0.6007032069149808,0.5691559215552613,0.656792196044572,0.36781284399999997,0.573863416742645,,,,,0.0,0.40581026144232063,201.0,1920.0,,https://arxiv.org/abs/1608.06993
DenseNet-121,0.745,0.609,0.6565623848391551,0.5972631695630843,0.5613468543274576,0.6606628453714233,0.36934431100000004,0.5942468764641177,0.5746104089770551,0.2899438047220416,0.4569405185474646,0.40442797855239976,0.0,0.4057924663505599,121.0,1024.0,1024.0,https://arxiv.org/abs/1608.06993
ResNet-152 v2,0.778,0.7411,0.6575117094035291,0.5885858495722821,0.5607062436997866,0.6557354752373141,0.376567353,0.5905324811486473,0.5803594965941539,0.2937657826566265,0.4515838619899167,0.39550576967202417,0.0,0.4056662279939528,152.0,2048.0,2048.0,https://arxiv.org/abs/1512.03385
ResNet-50 v2,0.7559999999999999,0.7289,0.6525672348066289,0.588866242018601,0.5640317538351807,0.6555355194631657,0.377464769,0.6704911612457545,0.5705586347657435,0.28812141624758786,0.4542509716964684,0.3829716120642445,0.0,0.4047245614563075,50.0,2048.0,2048.0,https://arxiv.org/abs/1512.03385
Xception,0.79,0.6757,0.6706893521061001,0.5654023284119313,0.5417294274380235,0.6300785704552772,0.361446007,0.6134990067136178,0.5797558613455157,0.2951407877056824,0.4401009397166697,0.369357496866126,0.0,0.39938442187950784,67.0,2048.0,2048.0,https://arxiv.org/abs/1610.02357
Inception v2,0.7390000000000001,0.6931,0.6458807285927486,0.5932801192132933,0.5635849090290815,0.6380663152022048,0.356874149,0.5694653222729105,0.57375177148389,0.2838069991680622,0.4570788580399767,0.39480664415567335,0.0,0.39900874920151047,,1024.0,1024.0,https://arxiv.org/abs/1512.00567
Inception v1,0.698,0.675,0.6494514419384386,0.5834922856250877,0.5581897341674865,0.6368091136703272,0.361635919,0.5946626104868263,0.5779246108351439,0.2892975576918421,0.4530297158604746,0.3806113009722349,0.0,0.3986449116408816,,1024.0,1024.0,https://arxiv.org/abs/1409.4842
